,age,work_experience,family_size,segmentation,spending_score_enc,var_enc,gender_Male,ever_married_Yes,graduated_Yes,profession_Doctor,profession_Engineer,profession_Entertainment,profession_Executive,profession_Healthcare,profession_Homemaker,profession_Lawyer,profession_Marketing,profession_unknown
0,22,1.0,4.0,3,0.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False
1,38,1.0,3.0,0,1.0,3.0,False,True,True,False,True,False,False,False,False,False,False,False
2,67,1.0,1.0,1,0.0,5.0,False,True,True,False,True,False,False,False,False,False,False,False
3,67,0.0,2.0,1,2.0,5.0,True,True,True,False,False,False,False,False,False,True,False,False
4,40,1.0,6.0,0,2.0,5.0,False,True,True,False,False,True,False,False,False,False,False,False
5,56,0.0,2.0,2,1.0,5.0,True,True,False,False,False,False,False,False,False,False,False,False
6,32,1.0,3.0,2,0.0,5.0,True,False,True,False,False,False,False,True,False,False,False,False
7,33,1.0,3.0,3,0.0,5.0,False,False,True,False,False,False,False,True,False,False,False,False
8,61,0.0,3.0,3,0.0,6.0,False,True,True,False,True,False,False,False,False,False,False,False
9,55,1.0,4.0,2,1.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
10,26,1.0,3.0,0,0.0,5.0,False,False,True,False,True,False,False,False,False,False,False,False
11,19,4.0,4.0,3,0.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False
12,19,0.0,3.0,3,0.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False
13,70,1.0,1.0,0,0.0,5.0,True,True,False,False,False,False,False,False,False,True,False,False
14,58,0.0,1.0,1,0.0,2.0,False,True,False,True,False,False,False,False,False,False,False,False
15,41,1.0,2.0,2,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
16,32,9.0,5.0,3,0.0,2.0,False,False,False,False,False,False,False,False,True,False,False,False
17,31,1.0,6.0,1,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False
18,58,1.0,4.0,1,1.0,5.0,True,True,True,False,False,True,False,False,False,False,False,False
19,79,0.0,1.0,2,2.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
20,49,12.0,1.0,0,0.0,2.0,True,True,True,False,False,False,False,False,True,False,False,False
21,18,3.0,4.0,3,0.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False
22,33,13.0,2.0,0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False
23,36,5.0,2.0,1,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,False
24,58,1.0,3.0,1,1.0,2.0,False,True,False,False,False,False,True,False,False,False,False,False
25,56,1.0,3.0,2,1.0,5.0,True,True,False,False,False,False,False,False,False,False,False,False
26,31,9.0,8.0,0,0.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False
27,49,1.0,3.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
28,35,0.0,1.0,1,0.0,5.0,True,False,True,False,False,False,False,False,False,False,False,False
29,35,5.0,4.0,2,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False
30,45,0.0,3.0,2,0.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
31,42,1.0,2.0,0,0.0,3.0,False,True,False,True,False,False,False,False,False,False,False,False
32,19,1.0,3.0,3,0.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False
33,26,9.0,3.0,3,0.0,5.0,True,False,False,False,False,False,False,False,True,False,False,False
34,83,1.0,2.0,3,2.0,5.0,False,True,False,False,False,False,False,False,False,True,False,False
35,27,3.0,4.0,3,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False
36,32,5.0,1.0,3,0.0,3.0,True,False,False,True,False,False,False,False,False,False,False,False
37,28,1.0,5.0,3,1.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False
38,28,8.0,2.0,0,0.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
39,56,1.0,2.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
40,47,4.0,1.0,1,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,False
41,22,0.0,2.0,3,0.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False
42,27,14.0,3.0,0,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,False
43,49,1.0,2.0,2,0.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
44,40,8.0,1.0,0,0.0,5.0,True,True,False,False,True,False,False,False,False,False,False,False
45,79,1.0,2.0,0,2.0,5.0,False,True,False,False,False,False,False,False,False,True,False,False
46,41,0.0,4.0,1,1.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False
47,29,1.0,1.0,0,0.0,6.0,False,False,True,False,False,False,False,True,False,False,False,False
48,19,0.0,4.0,3,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False
49,45,1.0,1.0,0,0.0,5.0,False,False,True,False,True,False,False,False,False,False,False,False
50,61,1.0,2.0,1,1.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False
51,36,1.0,2.0,2,1.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
52,40,1.0,1.0,0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False
53,57,0.0,2.0,2,1.0,5.0,False,True,True,False,False,True,False,False,False,False,False,False
54,76,1.0,1.0,0,0.0,3.0,True,True,False,False,False,False,False,False,False,False,True,False
55,32,14.0,2.0,1,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
56,25,9.0,4.0,3,0.0,5.0,True,False,True,False,False,False,False,True,False,False,False,False
57,32,8.0,2.0,3,0.0,5.0,True,False,True,True,False,False,False,False,False,False,False,False
58,45,1.0,3.0,2,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False
59,72,1.0,3.0,3,0.0,3.0,True,True,True,False,False,False,False,False,False,True,False,False
60,48,0.0,2.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
61,55,9.0,2.0,2,1.0,0.0,True,True,True,False,False,False,False,False,False,False,False,False
62,74,0.0,3.0,3,2.0,5.0,True,True,True,False,False,False,False,False,False,True,False,False
63,56,1.0,2.0,0,2.0,5.0,True,True,True,False,False,False,False,False,False,True,False,False
64,59,7.0,2.0,0,2.0,5.0,True,True,True,False,False,False,False,False,False,True,False,False
65,25,0.0,2.0,0,0.0,5.0,True,False,True,False,False,True,False,False,False,False,False,False
66,31,0.0,2.0,0,1.0,5.0,True,True,True,True,False,False,False,False,False,False,False,False
67,27,8.0,4.0,0,0.0,5.0,True,False,False,False,False,False,False,False,False,False,False,False
68,57,0.0,4.0,1,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
69,39,1.0,2.0,0,2.0,5.0,False,True,True,False,False,False,False,False,True,False,False,False
70,27,8.0,2.0,3,0.0,5.0,True,True,True,False,False,False,False,True,False,False,False,False
71,51,8.0,2.0,0,1.0,5.0,False,True,True,False,False,True,False,False,False,False,False,False
72,47,0.0,5.0,1,1.0,5.0,False,True,False,False,False,False,False,False,False,False,False,False
73,33,8.0,4.0,3,0.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False
74,56,0.0,4.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
75,33,0.0,3.0,1,0.0,5.0,False,False,False,False,False,False,False,False,True,False,False,False
76,36,0.0,2.0,3,0.0,5.0,False,False,True,True,False,False,False,False,False,False,False,False
77,51,4.0,3.0,0,0.0,3.0,True,True,False,False,False,False,False,False,False,False,False,False
78,45,2.0,2.0,2,1.0,5.0,True,True,True,False,True,False,False,False,False,False,False,False
79,49,1.0,1.0,3,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,True
80,30,0.0,4.0,2,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False
81,26,6.0,3.0,3,0.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False
82,63,8.0,1.0,0,0.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
83,35,8.0,4.0,1,1.0,2.0,True,True,False,False,False,True,False,False,False,False,False,False
84,19,1.0,3.0,0,0.0,3.0,False,False,False,False,False,False,False,False,False,False,True,False
85,32,7.0,5.0,3,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False
86,52,0.0,3.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
87,36,5.0,2.0,2,0.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
88,42,7.0,3.0,3,0.0,3.0,False,False,False,False,False,True,False,False,False,False,False,False
89,40,0.0,2.0,3,1.0,2.0,True,True,False,True,False,False,False,False,False,False,False,False
90,39,0.0,3.0,1,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False
91,47,1.0,4.0,2,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False
92,61,1.0,2.0,2,2.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False
93,32,1.0,2.0,3,0.0,2.0,True,True,False,False,False,True,False,False,False,False,False,False
94,55,0.0,1.0,1,0.0,5.0,True,True,False,False,False,False,False,False,False,False,False,False
95,58,1.0,1.0,3,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
96,38,0.0,1.0,3,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,False
97,63,0.0,2.0,2,2.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
98,58,1.0,2.0,2,1.0,5.0,True,True,True,True,False,False,False,False,False,False,False,False
99,30,3.0,3.0,3,1.0,3.0,True,True,False,False,True,False,False,False,False,False,False,False
100,60,0.0,4.0,2,1.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False
101,68,1.0,7.0,1,2.0,5.0,True,True,False,False,False,False,True,False,False,False,False,False
102,52,0.0,3.0,0,0.0,3.0,True,True,False,False,False,False,False,False,False,False,False,False
103,38,0.0,5.0,0,2.0,5.0,True,True,False,False,False,False,True,False,False,False,False,False
104,35,10.0,2.0,1,0.0,5.0,False,True,True,False,False,False,False,True,False,False,False,False
105,18,1.0,2.0,3,0.0,5.0,True,False,False,True,False,False,False,False,False,False,False,False
106,30,3.0,2.0,3,0.0,0.0,True,True,True,False,False,False,False,False,True,False,False,False
107,86,1.0,1.0,3,0.0,5.0,True,False,False,False,False,False,False,False,False,True,False,False
108,19,6.0,5.0,3,0.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False
109,25,9.0,3.0,3,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False
110,59,1.0,4.0,0,0.0,3.0,True,True,True,False,False,True,False,False,False,False,False,False
111,39,0.0,1.0,0,0.0,5.0,False,False,True,False,False,False,False,False,False,False,False,False
112,50,1.0,3.0,1,0.0,5.0,False,True,True,True,False,False,False,False,False,False,False,False
113,47,1.0,1.0,2,0.0,5.0,True,False,True,False,False,False,False,False,False,False,False,False
114,43,0.0,3.0,3,2.0,5.0,True,True,True,False,False,False,True,False,False,False,False,False
115,36,8.0,4.0,1,1.0,0.0,True,True,False,False,False,False,True,False,False,False,False,False
116,80,1.0,1.0,3,0.0,5.0,True,True,False,False,False,False,False,False,False,True,False,False
117,36,0.0,2.0,2,0.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False
118,27,2.0,7.0,3,0.0,3.0,True,False,False,False,False,False,False,False,False,False,False,True
